Academic English Multi Student
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	40103	AEM 120	01	M	8.000	Academic Reading/Writing II	MWF	10:30 am-12:50 pm	16	0	16	0	0	0	0	0	0	John L McGoldrick (P)	08/22-12/14	LM 343	In-Person Modality and Tuition (Liberal Arts)
NR	40104	AEM	121	01	M	4.000	Academic Oral Comm II	TR	04:35 pm-06:20 pm	18	0	18	0	0	0	0	0	0	TBA	08/22-12/14	MA 226	In-Person Modality and Tuition (Liberal Arts)
NR	40105	AEM	124	01	M	8.000	Academic Reading/Writing III	MWF	10:30 am-12:50 pm	16	0	16	0	0	0	0	0	0	Stephanie Vandrick (P)	08/22-12/14	LM 345	In-Person Modality and Tuition (Liberal Arts)
Advertising
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	40106	ADVT	101	01	M	4.000	Rhetoric and Consumer Culture	TR	12:45 pm-02:30 pm	40	0	40	0	0	0	0	0	0	Marilyn E Delaure (P)	08/22-12/14	CO 418	In-Person Modality and Tuition (Liberal Arts)
NR	40107	ADVT	201	01	M	4.000	Fund. of Creative Strategy	TR	09:55 am-11:40 am	40	0	40	0	0	0	0	0	0	Julia Kirkland (P)	08/22-12/14	CO 417	In-Person Modality and Tuition (Liberal Arts)
NR	40108	ADVT	202	01	M	4.000	Fund. of Creative Development	M	06:30 pm-10:10 pm	40	0	40	0	0	0	0	0	0	TBA	08/22-12/14	CO 314	In-Person Modality and Tuition (Liberal Arts)
NR	40109	ADVT	302	01	M	4.000	Innovation in Advertising	W	06:30 pm-10:10 pm	35	0	35	0	0	0	0	0	0	Susan Margaret Barnes (P)	08/22-12/14	LM 355	In-Person Modality and Tuition (Liberal Arts)
NR	40110	ADVT	320	01	M	4.000	Copywriting	W	11:45 am-03:25 pm	35	0	35	0	0	0	0	0	0	Marthinus Johannes Coetzee Van Loggerenberg (P)	08/22-12/14	LM 344	In-Person Modality and Tuition (Liberal Arts)
NR	40111	ADVT	401	01	M	4.000	Advertising Internship	S	11:45 am-03:25 pm	15	0	15	0	0	0	0	0	0	TBA	08/22-12/14	KA 111	In-Person Modality and Tuition (Liberal Arts)
NR	40112	ADVT	402	01	M	4.000	Industry Internship	S	11:45 am-03:25 pm	15	0	15	0	0	0	0	0	0	TBA	08/22-12/14	KA 163	In-Person Modality and Tuition (Liberal Arts)
NR	40113	ADVT	411	01	M	4.000	Campaign Project I	TR	02:40 pm-04:25 pm	25	0	25	5	0	5	0	0	0	Julia Kirkland (P)	08/22-12/14	LM 241A	In-Person Modality and Tuition (Liberal Arts)
African American Studies
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	41228	AAS	100	01	M	4.000	Black Activists & Visionaries	MW	04:45 pm-06:25 pm	30	0	30	0	0	0	0	0	0	Sheryl Evans Davis (P)	08/22-12/14	LM 141A	Core CD Cultural Diversity and In-Person Modality and UG MNR AAS DISTRIBUTION (MAA1) and UG MNR AAS ELECTIVE (MAA2) and Tuition (Liberal Arts)
NR	41235	AAS	400	01	M	2.000	Black Scholars Capstone Part I	TR	09:55 am-11:40 am	30	0	30	0	0	0	0	0	0	Emille Davie Lawrence (P)	08/22-12/14	LM 241B	In-Person Modality and Tuition (Liberal Arts)
American Sign Language
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	40506	ASL	101	01	M	4.000	First Semester ASL	MWF	10:30 am-11:35 am	22	0	22	0	0	0	0	0	0	Joel Cataldo Gelburd (P)	08/22-12/14	LM 365	In-Person Modality and Tuition (Liberal Arts)
NR	40507	ASL	101	02	M	4.000	First Semester ASL	MWF	11:45 am-12:50 pm	22	0	22	0	0	0	0	0	0	Joel Cataldo Gelburd (P)	08/22-12/14	LM 365	In-Person Modality and Tuition (Liberal Arts)
NR	40508	ASL	102	01	M	4.000	Second Semester ASL	MWF	10:30 am-11:35 am	22	0	22	0	0	0	0	0	0	Sandra J Germinaro (P)	08/22-12/14	LM 363	FOREIGN LANG 2ND (FL2) and In-Person Modality and Tuition (Liberal Arts)
NR	40509	ASL	201	01	M	4.000	Third Semester ASL	MWF	11:45 am-12:50 pm	22	0	22	0	0	0	0	0	0	Sandra J Germinaro (P)	08/22-12/14	LM 363	FOREIGN LANG 3RD (FL3) and In-Person Modality and Tuition (Liberal Arts)
Anthropology
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	41906	ANTH	200	01	M	4.000	Intro to Anthropology	TR	08:00 am-09:45 am	40	0	40	0	0	0	0	0	0	TBA	08/22-12/14	CO 417	UG MJR-International Studies and Core E Social Sciences and Core CD Cultural Diversity and In-Person Modality and Tuition (Liberal Arts)
NR	41907	ANTH	210	01	M	4.000	Cultures Through Film	W	06:30 pm-10:10 pm	40	0	40	0	0	0	0	0	0	TBA	08/22-12/14	CO 314	UG MJR-International Studies and Core E Social Sciences and Core CD Cultural Diversity and In-Person Modality and Tuition (Liberal Arts)
Arabic
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	40505	ARAB	201	01	M	4.000	Third Semester Arabic	MWF	03:30 pm-04:35 pm	22	0	22	0	0	0	0	0	0	Gaye Walton-Price (P)	08/22-12/14	ED 310	FOREIGN LANG 3RD (FL3) and In-Person Modality and UG MNR JSSJ ELECT (MJSS) and Tuition (Liberal Arts)
Architecture
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	41040	ARCH	100	01	M	2.000	Intro to Arch & Comm Des	T	02:40 pm-04:25 pm	40	0	40	0	0	0	0	0	0	Leslie Moldow (P)	08/22-12/14	KA 163	In-Person Modality and Tuition (Liberal Arts) and UG MJR-Urban Studies
NR	41041	ARCH	100	02	M	2.000	Intro to Arch & Comm Des	T	04:35 pm-06:20 pm	40	0	40	0	0	0	0	0	0	Leslie Moldow (P)	08/22-12/14	KA 163	In-Person Modality and Tuition (Liberal Arts) and UG MJR-Urban Studies
NR	41042	ARCH	102	01	M	2.000	History of Architecture II	R	02:40 pm-04:25 pm	40	0	40	0	0	0	0	0	0	TBA	08/22-12/14	KA 163	UG MJR/MNR ART MOD/CONTEMP and Core F Visual and Perf Arts and In-Person Modality and Tuition (Liberal Arts)
NR	41043	ARCH	102	02	M	2.000	History of Architecture II	R	04:35 pm-06:20 pm	40	0	40	0	0	0	0	0	0	TBA	08/22-12/14	KA 163	UG MJR/MNR ART MOD/CONTEMP and Core F Visual and Perf Arts and In-Person Modality and Tuition (Liberal Arts)
NR	41044	ARCH	104	01	M	0.000	Fabrication Lab	F	02:30 pm-07:00 pm	12	0	12	0	0	0	12	0	12	Luca Ameri (P)	08/22-12/14	FR XARTS 001	In-Person Modality and Tuition (Liberal Arts)
NR	41045	ARCH	104	02	M	0.000	Fabrication Lab	S	09:30 am-02:00 pm	12	0	12	0	0	0	12	0	12	Luca Ameri (P)	08/22-12/14	FR XARTS 001	In-Person Modality and Tuition (Liberal Arts)
NR	41046	ARCH	104	03	M	0.000	Fabrication Lab	F	02:30 pm-07:00 pm	12	0	12	0	0	0	12	0	12	Luca Ameri (P)	08/22-12/14	FR XARTS 001	In-Person Modality and Tuition (Liberal Arts)
NR	41047	ARCH	104	04	M	0.000	Fabrication Lab	S	09:30 am-02:00 pm	12	0	12	0	0	0	12	0	12	Luca Ameri (P)	08/22-12/14	FR XARTS 001	In-Person Modality and Tuition (Liberal Arts)
NR	41048	ARCH	104	05	M	0.000	Fabrication Lab	F	02:30 pm-07:00 pm	12	0	12	0	0	0	12	0	12	Luca Ameri (P)	08/22-12/14	FR XARTS 001	In-Person Modality and Tuition (Liberal Arts)
NR	41049	ARCH	104	06	M	0.000	Fabrication Lab	S	09:30 am-02:00 pm	12	0	12	0	0	0	12	0	12	Luca Ameri (P)	08/22-12/14	FR XARTS 001	In-Person Modality and Tuition (Liberal Arts)
NR	41050	ARCH	110	01	M	4.000	Architecture Studio I	TR	09:00 am-11:45 am	12	0	12	0	0	0	0	0	0	TBA	08/22-12/14	FR XARTS 024	In-Person Modality and Tuition (Liberal Arts)
NR	41051	ARCH	110	02	M	4.000	Architecture Studio I	TR	09:00 am-11:45 am	12	0	12	0	0	0	0	0	0	Andrea Cernusak (P)	08/22-12/14	FR XARTS 026	In-Person Modality and Tuition (Liberal Arts)
NR	41052	ARCH	110	03	M	4.000	Architecture Studio I	TR	09:00 am-11:45 am	12	0	12	0	0	0	0	0	0	TBA	08/22-12/14	FR XARTS 028	In-Person Modality and Tuition (Liberal Arts)
NR	41053	ARCH	110	04	M	4.000	Architecture Studio I	TR	12:45 pm-03:30 pm	12	0	12	0	0	0	0	0	0	TBA	08/22-12/14	FR XARTS 024	In-Person Modality and Tuition (Liberal Arts)
NR	41054	ARCH	110	05	M	4.000	Architecture Studio I	TR	12:45 pm-03:30 pm	12	0	12	0	0	0	0	0	0	Yu-Chung Li (P)	08/22-12/14	FR XARTS 026	In-Person Modality and Tuition (Liberal Arts)
NR	41055	ARCH	150	01	M	2.000	Architectonics I	F	09:15 am-11:15 am	12	0	12	0	0	0	0	0	0	Julia Weatherspoon (P)	08/22-12/14	FR XARTS 024	In-Person Modality and Tuition (Liberal Arts)
NR	41056	ARCH	150	02	M	2.000	Architectonics I	F	09:15 am-11:15 am	12	0	12	0	0	0	0	0	0	Chidiebube Okenwa (P)	08/22-12/14	FR XARTS 026	In-Person Modality and Tuition (Liberal Arts)
NR	41057	ARCH	150	03	M	2.000	Architectonics I	F	09:15 am-11:15 am	12	0	12	0	0	0	0	0	0	Gloria Yim Lim Jew (P)	08/22-12/14	FR XARTS 028	In-Person Modality and Tuition (Liberal Arts)
NR	41058	ARCH	150	04	M	2.000	Architectonics I	F	01:45 pm-03:45 pm	12	0	12	0	0	0	0	0	0	Dijon Marcelle Jones (P)	08/22-12/14	FR XARTS 024	In-Person Modality and Tuition (Liberal Arts)
NR	41059	ARCH	150	05	M	2.000	Architectonics I	F	01:45 pm-03:45 pm	12	0	12	0	0	0	0	0	0	Jackson Lindsay (P)	08/22-12/14	FR XARTS 026	In-Person Modality and Tuition (Liberal Arts)
NR	41060	ARCH	204	01	M	2.000	History of Architecture IV	W	04:45 pm-06:25 pm	40	0	40	0	0	0	0	0	0	TBA	08/22-12/14	KA 111	UG MJR/MNR ART MOD/CONTEMP and Core F Visual and Perf Arts and In-Person Modality and Tuition (Liberal Arts) and UG MJR-Urban Studies
NR	41061	ARCH	240	01	M	4.000	Materials and Methods of Arch.	MW	09:00 am-11:45 am	12	0	12	0	0	0	0	0	0	Shu Chang (P)	08/22-12/14	FR XARTS 024	In-Person Modality and Tuition (Liberal Arts)
NR	41062	ARCH	240	02	M	4.000	Materials and Methods of Arch.	MW	09:00 am-11:45 am	12	0	12	0	0	0	0	0	0	TBA	08/22-12/14	FR XARTS 026	In-Person Modality and Tuition (Liberal Arts)
NR	41063	ARCH	240	03	M	4.000	Materials and Methods of Arch.	MW	03:15 pm-06:00 pm	12	0	12	0	0	0	0	0	0	Kerstin Hellmann (P)	08/22-12/14	FR XARTS 024	In-Person Modality and Tuition (Liberal Arts)
NR	41064	ARCH	240	04	M	4.000	Materials and Methods of Arch.	MW	03:15 pm-06:00 pm	12	0	12	0	0	0	0	0	0	James Doyle (P)	08/22-12/14	FR XARTS 026	In-Person Modality and Tuition (Liberal Arts)
NR	41065	ARCH	240	05	M	4.000	Materials and Methods of Arch.	MW	03:15 pm-06:00 pm	12	0	12	0	0	0	0	0	0	TBA	08/22-12/14	FR XARTS 028	In-Person Modality and Tuition (Liberal Arts)
NR	41066	ARCH	250	01	M	4.000	CADD 1	T	06:30 pm-09:30 pm	18	0	18	0	0	0	0	0	0	Robert Anthony Jackson (P)	08/22-12/14	CO G25	In-Person Modality and Tuition (Liberal Arts)
NR	41067	ARCH	250	02	M	4.000	CADD 1	W	05:30 pm-08:30 pm	18	0	18	0	0	0	0	0	0	Robert Anthony Jackson (P)	08/22-12/14	CO G25	In-Person Modality and Tuition (Liberal Arts)
NR	41068	ARCH	270	01	M	2.000	BIM & Applications	M	05:10 pm-08:10 pm	18	0	18	0	0	0	0	0	0	Dijon Marcelle Jones (P)	08/22-12/14	CO G25	In-Person Modality and Tuition (Liberal Arts)
NR	41069	ARCH	300	01	M	2.000	CADD 2: GIS for Architecture	T	06:30 pm-09:30 pm	13	0	13	0	0	0	30	0	30	TBA	10/24-12/14	CO 312	UG MJR-Environmental Studies and ENVA Pathway Courses and In-Person Modality and Tuition (Liberal Arts)
NR	41070	ARCH	320	01	M	4.000	Sustainable Design	MW	04:45 pm-06:25 pm	20	0	20	0	0	0	0	0	0	Paul Okamoto (P)	08/22-12/14	LM 140	UG MJR-Environmental Studies and ENVA Pathway Courses and In-Person Modality and Tuition (Liberal Arts) and UG MJR-Urban Studies
