CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
40103,AEM,120,1,M,8.000,Academic Reading/Writing II,MWF,10:30 am-12:50 pm,16,0,16,0,0,0,0,0,0,John L McGoldrick (P),08/22-12/14,LM 343,In-Person Modality and Tuition (Liberal Arts),
40104,AEM,121,1,M,4.000,Academic Oral Comm II,TR,04:35 pm-06:20 pm,18,0,18,0,0,0,0,0,0,TBA,08/22-12/14,MA 226,In-Person Modality and Tuition (Liberal Arts)
40105,AEM,124,1,M,8.000,Academic Reading/Writing III,MWF,10:30 am-12:50 pm,16,0,16,0,0,0,0,0,0,Stephanie Vandrick (P),08/22-12/14,LM 345,In-Person Modality and Tuition (Liberal Arts)
40106,ADVT,101,1,M,4.000,Rhetoric and Consumer Culture,TR,12:45 pm-02:30 pm,40,0,40,0,0,0,0,0,0,Marilyn E Delaure (P),08/22-12/14,CO 418,In-Person Modality and Tuition (Liberal Arts)
40107,ADVT,201,1,M,4.000,Fund. of Creative Strategy,TR,09:55 am-11:40 am,40,0,40,0,0,0,0,0,0,Julia Kirkland (P),08/22-12/14,CO 417,In-Person Modality and Tuition (Liberal Arts)
40108,ADVT,202,1,M,4.000,Fund. of Creative Development,M,06:30 pm-10:10 pm,40,0,40,0,0,0,0,0,0,TBA,08/22-12/14,CO 314,In-Person Modality and Tuition (Liberal Arts)
40109,ADVT,302,1,M,4.000,Innovation in Advertising,W,06:30 pm-10:10 pm,35,0,35,0,0,0,0,0,0,Susan Margaret Barnes (P),08/22-12/14,LM 355,In-Person Modality and Tuition (Liberal Arts)
40110,ADVT,320,1,M,4.000,Copywriting,W,11:45 am-03:25 pm,35,0,35,0,0,0,0,0,0,Marthinus Johannes Coetzee Van Loggerenberg (P),08/22-12/14,LM 344,In-Person Modality and Tuition (Liberal Arts)
40111,ADVT,401,1,M,4.000,Advertising Internship,S,11:45 am-03:25 pm,15,0,15,0,0,0,0,0,0,TBA,08/22-12/14,KA 111,In-Person Modality and Tuition (Liberal Arts)
40112,ADVT,402,1,M,4.000,Industry Internship,S,11:45 am-03:25 pm,15,0,15,0,0,0,0,0,0,TBA,08/22-12/14,KA 163,In-Person Modality and Tuition (Liberal Arts)
40113,ADVT,411,1,M,4.000,Campaign Project I,TR,02:40 pm-04:25 pm,25,0,25,5,0,5,0,0,0,Julia Kirkland (P),08/22-12/14,LM 241A,In-Person Modality and Tuition (Liberal Arts)
41228,AAS,100,1,M,4.000,Black Activists & Visionaries,MW,04:45 pm-06:25 pm,30,0,30,0,0,0,0,0,0,Sheryl Evans Davis (P),08/22-12/14,LM 141A,Core CD Cultural Diversity and In-Person Modality and UG MNR AAS DISTRIBUTION (MAA1) and UG MNR AAS ELECTIVE (MAA2) and Tuition (Liberal Arts)
41235,AAS,400,1,M,2.000,Black Scholars Capstone Part I,TR,09:55 am-11:40 am,30,0,30,0,0,0,0,0,0,Emille Davie Lawrence (P),08/22-12/14,LM 241B,In-Person Modality and Tuition (Liberal Arts)
40506,ASL,101,1,M,4.000,First Semester ASL,MWF,10:30 am-11:35 am,22,0,22,0,0,0,0,0,0,Joel Cataldo Gelburd (P),08/22-12/14,LM 365,In-Person Modality and Tuition (Liberal Arts)
40507,ASL,101,2,M,4.000,First Semester ASL,MWF,11:45 am-12:50 pm,22,0,22,0,0,0,0,0,0,Joel Cataldo Gelburd (P),08/22-12/14,LM 365,In-Person Modality and Tuition (Liberal Arts)
40508,ASL,102,1,M,4.000,Second Semester ASL,MWF,10:30 am-11:35 am,22,0,22,0,0,0,0,0,0,Sandra J Germinaro (P),08/22-12/14,LM 363,FOREIGN LANG 2ND (FL2) and In-Person Modality and Tuition (Liberal Arts)
40509,ASL,201,1,M,4.000,Third Semester ASL,MWF,11:45 am-12:50 pm,22,0,22,0,0,0,0,0,0,Sandra J Germinaro (P),08/22-12/14,LM 363,FOREIGN LANG 3RD (FL3) and In-Person Modality and Tuition (Liberal Arts)
41906,ANTH,200,1,M,4.000,Intro to Anthropology,TR,08:00 am-09:45 am,40,0,40,0,0,0,0,0,0,TBA,08/22-12/14,CO 417,UG MJR-International Studies and Core E Social Sciences and Core CD Cultural Diversity and In-Person Modality and Tuition (Liberal Arts)
41907,ANTH,210,1,M,4.000,Cultures Through Film,W,06:30 pm-10:10 pm,40,0,40,0,0,0,0,0,0,TBA,08/22-12/14,CO 314,UG MJR-International Studies and Core E Social Sciences and Core CD Cultural Diversity and In-Person Modality and Tuition (Liberal Arts)
40505,ARAB,201,1,M,4.000,Third Semester Arabic,MWF,03:30 pm-04:35 pm,22,0,22,0,0,0,0,0,0,Gaye Walton-Price (P),08/22-12/14,ED 310,FOREIGN LANG 3RD (FL3) and In-Person Modality and UG MNR JSSJ ELECT (MJSS) and Tuition (Liberal Arts)
41040,ARCH,100,1,M,2.000,Intro to Arch & Comm Des,T,02:40 pm-04:25 pm,40,0,40,0,0,0,0,0,0,Leslie Moldow (P),08/22-12/14,KA 163,In-Person Modality and Tuition (Liberal Arts) and UG MJR-Urban Studies
41041,ARCH,100,2,M,2.000,Intro to Arch & Comm Des,T,04:35 pm-06:20 pm,40,0,40,0,0,0,0,0,0,Leslie Moldow (P),08/22-12/14,KA 163,In-Person Modality and Tuition (Liberal Arts) and UG MJR-Urban Studies
41042,ARCH,102,1,M,2.000,History of Architecture II,R,02:40 pm-04:25 pm,40,0,40,0,0,0,0,0,0,TBA,08/22-12/14,KA 163,UG MJR/MNR ART MOD/CONTEMP and Core F Visual and Perf Arts and In-Person Modality and Tuition (Liberal Arts)
41043,ARCH,102,2,M,2.000,History of Architecture II,R,04:35 pm-06:20 pm,40,0,40,0,0,0,0,0,0,TBA,08/22-12/14,KA 163,UG MJR/MNR ART MOD/CONTEMP and Core F Visual and Perf Arts and In-Person Modality and Tuition (Liberal Arts)
41044,ARCH,104,1,M,0.000,Fabrication Lab,F,02:30 pm-07:00 pm,12,0,12,0,0,0,12,0,12,Luca Ameri (P),08/22-12/14,FR XARTS 001,In-Person Modality and Tuition (Liberal Arts)
41045,ARCH,104,2,M,0.000,Fabrication Lab,S,09:30 am-02:00 pm,12,0,12,0,0,0,12,0,12,Luca Ameri (P),08/22-12/14,FR XARTS 001,In-Person Modality and Tuition (Liberal Arts)
